id	placeName	lat	lon	def	note type=Mariette	GeoName_URL	Pleiades_URL	TopBib_URL	TMGeo_URL	Wikidata_URL
CoEg_place_00000102	Gebel Barkal	18.53333 	31.83333 	(جبل البركل [Ǧabal al-Barkal])		https://www.geonames.org/377655	https://pleiades.stoa.org/places/508356079	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=701-070-130	https://www.trismegistos.org/place/3453	https://www.wikidata.org/wiki/Q499019
CoEg_place_00000103	Messine	38.19327 	15.54969 			https://www.geonames.org/6541859	https://pleiades.stoa.org/places/462538		https://www.trismegistos.org/place/3578	https://www.wikidata.org/wiki/Q13666
CoEg_place_00000104	Edfou	24.97916 	32.87722 	(إدفو [Idfū])		https://www.geonames.org/355635	https://pleiades.stoa.org/places/785974	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=506-010	https://www.trismegistos.org/place/269	https://www.wikidata.org/wiki/Q239107
CoEg_place_00000105	Russie	60	100			https://www.geonames.org/2017370		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-070	https://www.trismegistos.org/place/52211	https://www.wikidata.org/wiki/Q159
CoEg_place_00000106	Plombières-les-Bains	47.96337 	6.45758 			https://www.geonames.org/2986715			https://www.trismegistos.org/place/24769	https://www.wikidata.org/wiki/Q632969
CoEg_place_00000107	Leipzig	51.35 	12.3833 			https://www.geonames.org/2879137				https://www.wikidata.org/wiki/Q2079
CoEg_place_00000108	Autriche	47.33333 	13.33333 			https://www.geonames.org/2782113		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=704-020-120	https://www.trismegistos.org/place/3292	https://www.wikidata.org/wiki/Q40
CoEg_place_00000109	Chalon-sur-Saône	46.7937 	4.8482 			https://www.geonames.org/6450891	https://pleiades.stoa.org/places/177485		https://www.trismegistos.org/place/22924	https://www.wikidata.org/wiki/Q203645
CoEg_place_00000110	lac Moeris	29.45979 	30.59148 			https://www.geonames.org/350714	https://pleiades.stoa.org/places/736967		https://www.trismegistos.org/place/1384	https://www.wikidata.org/wiki/Q1330952
CoEg_place_00000111	portus icius	0	0				https://pleiades.stoa.org/places/114791		https://www.trismegistos.org/place/44990	
CoEg_place_00000112	Bononia	0	0				https://pleiades.stoa.org/places/109008		https://www.trismegistos.org/place/18965	
CoEg_place_00000113	Gesoriacum	0	0				https://pleiades.stoa.org/places/109008		https://www.trismegistos.org/place/18965	
CoEg_place_00000114	Liane (cours d'eau)	50.72899 	1.59446 			https://www.geonames.org/2998529				https://www.wikidata.org/wiki/Q1822696
CoEg_place_00000115	rue Vivienne	0	0							https://www.wikidata.org/wiki/Q3450361
CoEg_place_00000116	Corfou	39.59828 	19.85231 			https://www.geonames.org/2463678	https://pleiades.stoa.org/places/530835		https://www.trismegistos.org/place/1083	https://www.wikidata.org/wiki/Q121378
CoEg_place_00000117	Karnak	25.71771 	32.65393 	(الكرنك [Al-Karnak])		https://www.geonames.org/360964	https://pleiades.stoa.org/places/786050	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=201	https://www.trismegistos.org/place/13524	https://www.wikidata.org/wiki/Q189392
