id	Translittération	Traduction	note	note type="Mariette"	URL TLA	URL AVW
CoEg_aeg_00000037	ꞽw	île			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=21940&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=21940
CoEg_aeg_00000038	ꞽdḥw	le Delta			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=34240&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=34240
CoEg_aeg_00000039	tꜣ-mḥw	le pays du nord, c.-à-d. La Basse-Égypte			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=169120&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=169120
CoEg_aeg_00000040	nb	tout, chacun			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=81660&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=81660
CoEg_aeg_00000041	ẖꜣt	lagune			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=122270&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=122270
CoEg_aeg_00000042	msꞽ	naissance, naître			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=74950&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=74950
CoEg_aeg_00000043	šps	auguste			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=400546&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=400546
CoEg_aeg_00000044	Mn-nfr	Memphis			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=70010&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=70010
CoEg_aeg_00000045	m-ẖnw	à l'intérieur			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=65370&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=65370
CoEg_aeg_00000046	nswt-bꞽty	roi			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=88060&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=88060
CoEg_aeg_00000047	Ꞽwnw	Héliopolis			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=22850&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=22850
CoEg_aeg_00000048	Ḥꜥp	Hâpy, le Nil			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=650066&db=0 ; http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=102190&db=0 	http://awv.informatik.uni-leipzig.de/awv/links?word=650066/102190
CoEg_aeg_00000049	nty	pronom relatif			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=89850&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=89850
CoEg_aeg_00000050	spd	(être) pointu, aiguisé, prêt ; fournir, munir			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=133200&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=133200
